Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
1,0.154046,19.89913995,14.6,638.0,5853.0,0.868,0.961,4.544,2
1,0.103379,4.959319244,12.21,1103.0,5712.0,1.082,0.976,4.359,2
1,0.088069,40.4195037,7.51,467.0,5446.0,0.781,0.714,4.507,2
2,0.232818,7.2406612,19.45,734.0,5005.0,0.765,0.85,4.595,2
3,0.004612,3.43591631,0.55,1272.0,5779.0,1.087,0.941,4.339,2
1,0.084708,10.181584,7.73,812.0,5988.0,0.836,0.885,4.541,2
1,0.137595,19.62034692,13.6,643.0,5710.0,0.905,0.928,4.492,2
1,0.080046,34.84398644,7.61,511.0,5509.0,0.871,0.84,4.482,2
1,0.333559,4.64090031,30.09,1155.0,6463.0,0.826,0.786,4.5,2
1,0.673134,1.028436523,72.77,1947.0,6228.0,0.99,0.959,4.428,2
1,0.14756,235.9986399,10.59,188.0,4245.0,0.657,0.666,4.627,2
1,0.134949,39.74893077,14.21,552.0,6122.0,0.964,1.041,4.487,2
1,0.192842,13.61014819,19.02,733.0,5697.0,0.903,0.857,4.46,2
1,0.077431,119.0207044,8.98,366.0,5453.0,1.062,0.904,4.342,2
1,0.259639,12.94066866,22.94,723.0,5875.0,0.809,0.895,4.572,2
1,0.172543,2.688899233,12.04,929.0,4820.0,0.639,0.699,4.667,2
1,0.082519,12.73262407,4.87,432.0,3950.0,0.541,0.563,4.721,2
1,0.086015,83.92494032,4.78,226.0,3960.0,0.509,0.526,4.746,2
1,0.023262,3.886655224,1.87,1010.0,5662.0,0.738,0.813,4.61,2
1,0.026777,2.494170338,2.42,1194.0,5569.0,0.829,0.928,4.566,2
1,0.036074,39.4759093,4.06,577.0,6225.0,1.031,1.091,4.45,2
4,0.01416,9.61731426,1.94,1010.0,6035.0,1.257,0.958,4.22,2
1,0.053684,90.1240507,7.12,485.0,6520.0,1.215,1.279,4.375,2
1,0.027062,856.672115,3.87,242.0,6449.0,1.309,1.063,4.232,2
1,0.012649,0.689210173,1.32,1943.0,5630.0,0.954,1.064,4.505,2
1,0.023067,3.9886021,34.39,3145.0,4813.0,13.652,2.016,2.472,2
1,0.301918,0.533059312,133.56,5862.0,8523.0,4.051,2.166,3.559,2
1,0.037707,129995.7784,2.99,25.0,4500.0,0.726,0.717,4.572,2
3,0.009558,17.157236,1.55,844.0,5676.0,1.487,1.016,4.1,2
2,0.017826,13.11896244,8.25,1768.0,7221.0,4.24,2.018,3.488,2
2,0.006005,7.82187328,2.78,2101.0,7221.0,4.24,2.018,3.488,2
1,0.013111,53.5057611,2.52,675.0,6247.0,1.762,1.174,4.016,2
1,0.046114,13.4471791,5.24,848.0,6276.0,1.041,1.001,4.405,2
1,0.063536,67.5923754,12.1,588.0,6038.0,1.744,1.341,4.082,2
1,0.022864,7.37290344,2.67,1004.0,5973.0,1.07,0.982,4.371,2
1,0.103475,119.0624882,10.4,366.0,5697.0,0.92,0.76,4.392,2
3,0.025982,14.8623076,1.57,454.0,4362.0,0.554,0.59,4.722,2
4,0.902495,16.15811112,86.13,660.0,5619.0,0.874,0.956,4.536,2
2,0.505204,1295.362215,57.82,169.0,5609.0,1.048,0.889,4.346,2
1,0.019694,4.2989201,2.12,1046.0,5300.0,0.986,0.861,4.385,2
1,0.101045,5.714817603,9.29,943.0,5695.0,0.842,0.869,4.526,2
3,0.011852,2.83668931,1.19,1242.0,5831.0,0.921,1.016,4.517,2
1,0.052044,2.624234833,5.11,1164.0,5340.0,0.899,0.963,4.514,2
3,0.017215,92.77779,1.92,410.0,5888.0,1.019,1.053,4.444,2
1,0.037343,422.917678,5.89,292.0,5796.0,1.444,1.004,4.12,2
1,0.01965,30.5872153,2.32,621.0,5944.0,1.082,1.024,4.38,2
1,0.244849,9.95639775,28.15,905.0,6161.0,1.053,1.15,4.454,2
4,0.018135,6.50327035,1.67,804.0,4999.0,0.843,0.8,4.49,2
4,0.01546,4.09667624,1.42,938.0,4999.0,0.843,0.8,4.49,2
1,0.169571,31.20169247,8.31,286.0,3748.0,0.449,0.461,4.796,2
1,0.114797,6.810823723,26.06,1626.0,7226.0,2.079,1.461,3.967,2
1,0.070071,51.59809554,6.57,449.0,5681.0,0.859,0.957,4.551,2
1,0.118113,1500.0,9.8,139.0,5606.0,0.76,0.832,4.597,2
1,0.07359,1500.140677,18.35,206.0,5009.0,2.283,1.083,3.755,2
3,0.010487,0.764017553,0.86,1589.0,5142.0,0.755,0.84,4.602,2
1,0.033497,20.51360192,2.58,540.0,5310.0,0.704,0.733,4.608,2
3,0.332851,150.0189511,32.6,325.0,5618.0,0.897,0.846,4.46,2
2,0.014734,0.783276173,1.98,2149.0,5640.0,1.233,0.979,4.247,2
2,0.015521,3.17405898,2.09,1348.0,5640.0,1.233,0.979,4.247,2
1,0.076581,345.1589354,7.79,241.0,5597.0,0.931,1.032,4.515,2
