,KOI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
3,K00753.01,1,14.6,638.0,19.89913995,0.868,5853.0,0.961,4.544,0.154046,2
38,K00760.01,1,12.21,1103.0,4.959319244,1.082,5712.0,0.976,4.359,0.103379,2
59,K00777.01,1,7.51,467.0,40.4195037,0.781,5446.0,0.714,4.507,0.088069,2
63,K00780.02,2,19.45,734.0,7.2406612,0.765,5005.0,0.85,4.595,0.232818,2
64,K00115.03,3,0.55,1272.0,3.43591631,1.087,5779.0,0.941,4.339,0.004612,2
85,K00797.01,1,7.73,812.0,10.181584,0.836,5988.0,0.885,4.541,0.084708,2
93,K00802.01,1,13.6,643.0,19.62034692,0.905,5710.0,0.928,4.492,0.137595,2
113,K00815.01,1,7.61,511.0,34.84398644,0.871,5509.0,0.84,4.482,0.080046,2
119,K00820.01,1,30.09,1155.0,4.64090031,0.826,6463.0,0.786,4.5,0.333559,2
124,K00823.01,1,72.77,1947.0,1.028436523,0.99,6228.0,0.959,4.428,0.673134,2
167,K00868.01,1,10.59,188.0,235.9986399,0.657,4245.0,0.666,4.627,0.14756,2
173,K00856.01,1,14.21,552.0,39.74893077,0.964,6122.0,1.041,4.487,0.134949,2
177,K00858.01,1,19.02,733.0,13.61014819,0.903,5697.0,0.857,4.46,0.192842,2
185,K00865.01,1,8.98,366.0,119.0207044,1.062,5453.0,0.904,4.342,0.077431,2
196,K00871.01,1,22.94,723.0,12.94066866,0.809,5875.0,0.895,4.572,0.259639,2
217,K00883.01,1,12.04,929.0,2.688899233,0.639,4820.0,0.699,4.667,0.172543,2
231,K00901.01,1,4.87,432.0,12.73262407,0.541,3950.0,0.563,4.721,0.082519,2
232,K00902.01,1,4.78,226.0,83.92494032,0.509,3960.0,0.526,4.746,0.086015,2
254,K00914.01,1,1.87,1010.0,3.886655224,0.738,5662.0,0.813,4.61,0.023262,2
270,K00928.01,1,2.42,1194.0,2.494170338,0.829,5569.0,0.928,4.566,0.026777,2
288,K00924.01,1,4.06,577.0,39.4759093,1.031,6225.0,1.091,4.45,0.036074,2
305,K00935.04,4,1.94,1010.0,9.61731426,1.257,6035.0,0.958,4.22,0.01416,2
317,K01103.01,1,7.12,485.0,90.1240507,1.215,6520.0,1.279,4.375,0.053684,2
319,K01168.01,1,3.87,242.0,856.672115,1.309,6449.0,1.063,4.232,0.027062,2
320,K01169.01,1,1.32,1943.0,0.689210173,0.954,5630.0,1.064,4.505,0.012649,2
327,K00970.01,1,34.39,3145.0,3.9886021,13.652,4813.0,2.016,2.472,0.023067,2
328,K00971.01,1,133.56,5862.0,0.533059312,4.051,8523.0,2.166,3.559,0.301918,2
343,K01174.01,1,2.99,25.0,129995.7784,0.726,4500.0,0.717,4.572,0.037707,2
345,K01175.02,3,1.55,844.0,17.157236,1.487,5676.0,1.016,4.1,0.009558,2
347,K00972.01,2,8.25,1768.0,13.11896244,4.24,7221.0,2.018,3.488,0.017826,2
349,K00972.02,2,2.78,2101.0,7.82187328,4.24,7221.0,2.018,3.488,0.006005,2
350,K00974.01,1,2.52,675.0,53.5057611,1.762,6247.0,1.174,4.016,0.013111,2
364,K00151.01,1,5.24,848.0,13.4471791,1.041,6276.0,1.001,4.405,0.046114,2
376,K00134.01,1,12.1,588.0,67.5923754,1.744,6038.0,1.341,4.082,0.063536,2
406,K01118.01,1,2.67,1004.0,7.37290344,1.07,5973.0,0.982,4.371,0.022864,2
408,K01193.01,1,10.4,366.0,119.0624882,0.92,5697.0,0.76,4.392,0.103475,2
410,K01194.02,3,1.57,454.0,14.8623076,0.554,4362.0,0.59,4.722,0.025982,2
436,K00989.03,4,86.13,660.0,16.15811112,0.874,5619.0,0.956,4.536,0.902495,2
457,K01192.01,2,57.82,169.0,1295.362215,1.048,5609.0,0.889,4.346,0.505204,2
459,K00994.01,1,2.12,1046.0,4.2989201,0.986,5300.0,0.861,4.385,0.019694,2
465,K01066.01,1,9.29,943.0,5.714817603,0.842,5695.0,0.869,4.526,0.101045,2
470,K01127.03,3,1.19,1242.0,2.83668931,0.921,5831.0,1.016,4.517,0.011852,2
487,K00141.01,1,5.11,1164.0,2.624234833,0.899,5340.0,0.963,4.514,0.052044,2
490,K01070.03,3,1.92,410.0,92.77779,1.019,5888.0,1.053,4.444,0.017215,2
501,K01206.01,1,5.89,292.0,422.917678,1.444,5796.0,1.004,4.12,0.037343,2
538,K01145.01,1,2.32,621.0,30.5872153,1.082,5944.0,1.024,4.38,0.01965,2
552,K01081.01,1,28.15,905.0,9.95639775,1.053,6161.0,1.15,4.454,0.244849,2
553,K01082.01,4,1.67,804.0,6.50327035,0.843,4999.0,0.8,4.49,0.018135,2
554,K01082.02,4,1.42,938.0,4.09667624,0.843,4999.0,0.8,4.49,0.01546,2
566,K00950.01,1,8.31,286.0,31.20169247,0.449,3748.0,0.461,4.796,0.169571,2
583,K01154.01,1,26.06,1626.0,6.810823723,2.079,7226.0,1.461,3.967,0.114797,2
