Number of Planets,Planet-Star Radius Ratio,Orbit Period (Days),Planet Radius (Earth),Equalibrium Temp (K),Star Temp (K),Star Radius,Star Mass,Star Surface Gravity,Status
2,0.022344,9.48803557,2.26,793.0,5455.0,0.927,0.919,4.467,1
2,0.027954,54.4183827,2.83,443.0,5455.0,0.927,0.919,4.467,1
1,0.387394,1.736952453,33.46,1395.0,5805.0,0.791,0.836,4.564,0
1,0.024064,2.525591777,2.75,1406.0,6031.0,1.046,1.095,4.438,1
3,0.036779,11.09432054,3.9,835.0,6046.0,0.972,1.053,4.486,1
3,0.026133,4.13443512,2.77,1160.0,6046.0,0.972,1.053,4.486,1
3,0.014983,2.56658897,1.59,1360.0,6046.0,0.972,1.053,4.486,1
1,0.183387,7.36178958,39.21,1342.0,6227.0,1.958,1.358,3.986,0
3,0.062161,16.06864674,5.76,600.0,5031.0,0.848,0.801,4.485,1
1,0.123871,2.470613377,13.04,1339.0,5820.0,0.964,0.971,4.457,1
1,0.075522,2.204735417,16.1,2048.0,6440.0,1.952,1.449,4.019,1
1,0.092086,3.522498429,14.59,1521.0,6225.0,1.451,1.132,4.169,1
2,0.010424,3.709214104,1.16,1206.0,5833.0,1.022,0.974,4.407,1
1,1.625358,11.52144606,150.51,753.0,5795.0,0.848,0.938,4.554,0
1,0.096729,19.40393776,7.18,523.0,5043.0,0.68,0.657,4.591,0
2,0.476633,19.22138894,49.29,698.0,6117.0,0.947,1.025,4.496,0
1,0.092509,16.46983774,7.94,595.0,5152.0,0.786,0.741,4.517,0
1,0.032563,9.27358173,2.47,649.0,4856.0,0.696,0.676,4.583,1
1,0.038838,6.02930329,2.85,678.0,4537.0,0.672,0.761,4.648,1
1,0.017673,2.696370652,1.58,1066.0,4989.0,0.819,0.781,4.504,0
3,0.025706,5.349553819,2.55,919.0,5185.0,0.91,0.831,4.44,1
3,0.017105,3.94105221,1.7,1018.0,5185.0,0.91,0.831,4.44,1
3,0.013127,8.10904807,1.3,800.0,5185.0,0.91,0.831,4.44,1
1,0.240528,386.6030528,41.5,297.0,5543.0,1.58,1.103,4.081,0
4,0.032666,21.67699193,2.95,530.0,4954.0,0.828,0.791,4.5,1
1,0.030014,4.99677968,2.78,917.0,5339.0,0.847,0.931,4.552,1
1,0.025377,4.280963604,2.3,1012.0,5644.0,0.831,0.928,4.564,1
1,0.049899,1.50635409,4.53,1452.0,5714.0,0.831,0.926,4.563,0
1,0.131705,670.645531,14.14,196.0,5520.0,0.983,1.03,4.466,0
