Kepler_OI_Name,Number_of_Planets,Planet_Radius_Earth,Equalibrium_Temp_K,Orbit_Period_Days,Star_Radius_Sun,Star_Temp_K,Star_Mass_Sun,Star_Surface_Gravity,Planet_Star_Radius_Ratio,Status
K00752.01,2,2.26,793.0,9.48803557,0.927,5455.0,0.919,4.467,0.022344,1
K00752.02,2,2.83,443.0,54.4183827,0.927,5455.0,0.919,4.467,0.027954,1
K00754.01,1,33.46,1395.0,1.736952453,0.791,5805.0,0.836,4.564,0.387394,0
K00755.01,1,2.75,1406.0,2.525591777,1.046,6031.0,1.095,4.438,0.024064,1
K00756.01,3,3.9,835.0,11.09432054,0.972,6046.0,1.053,4.486,0.036779,1
K00756.02,3,2.77,1160.0,4.13443512,0.972,6046.0,1.053,4.486,0.026133,1
K00756.03,3,1.59,1360.0,2.56658897,0.972,6046.0,1.053,4.486,0.014983,1
K00114.01,1,39.21,1342.0,7.36178958,1.958,6227.0,1.358,3.986,0.183387,0
K00757.01,3,5.76,600.0,16.06864674,0.848,5031.0,0.801,4.485,0.062161,1
K00001.01,1,13.04,1339.0,2.470613377,0.964,5820.0,0.971,4.457,0.123871,1
K00002.01,1,16.1,2048.0,2.204735417,1.952,6440.0,1.449,4.019,0.075522,1
K00010.01,1,14.59,1521.0,3.522498429,1.451,6225.0,1.132,4.169,0.092086,1
K00112.02,2,1.16,1206.0,3.709214104,1.022,5833.0,0.974,4.407,0.010424,1
K00742.01,1,150.51,753.0,11.52144606,0.848,5795.0,0.938,4.554,1.625358,0
K00743.01,1,7.18,523.0,19.40393776,0.68,5043.0,0.657,4.591,0.096729,0
K00744.01,2,49.29,698.0,19.22138894,0.947,6117.0,1.025,4.496,0.476633,0
K00745.01,1,7.94,595.0,16.46983774,0.786,5152.0,0.741,4.517,0.092509,0
K00746.01,1,2.47,649.0,9.27358173,0.696,4856.0,0.676,4.583,0.032563,1
K00747.01,1,2.85,678.0,6.02930329,0.672,4537.0,0.761,4.648,0.038838,1
K00748.01,1,1.58,1066.0,2.696370652,0.819,4989.0,0.781,4.504,0.017673,0
K00749.01,3,2.55,919.0,5.349553819,0.91,5185.0,0.831,4.44,0.025706,1
K00749.02,3,1.7,1018.0,3.94105221,0.91,5185.0,0.831,4.44,0.017105,1
K00749.03,3,1.3,800.0,8.10904807,0.91,5185.0,0.831,4.44,0.013127,1
K00113.01,1,41.5,297.0,386.6030528,1.58,5543.0,1.103,4.081,0.240528,0
K00750.01,4,2.95,530.0,21.67699193,0.828,4954.0,0.791,4.5,0.032666,1
K00751.01,1,2.78,917.0,4.99677968,0.847,5339.0,0.931,4.552,0.030014,1
K00769.01,1,2.3,1012.0,4.280963604,0.831,5644.0,0.928,4.564,0.025377,1
K00770.01,1,4.53,1452.0,1.50635409,0.831,5714.0,0.926,4.563,0.049899,0
K00771.01,1,14.14,196.0,670.645531,0.983,5520.0,1.03,4.466,0.131705,0
K00772.01,1,39.87,505.0,61.2563628,1.091,6144.0,1.093,4.402,0.334628,0
K00773.01,1,2.82,529.0,38.3775486,1.036,5481.0,0.915,4.369,0.024901,1
K00757.02,3,3.86,439.0,41.19725502,0.848,5031.0,0.801,4.485,0.041693,1
